dispute_id,true_category,expected_outcome,action,action_reason,outcome,final_score,suspicion_score,verdict
D-000059,CR-04,favor_merchant,request_more_evidence,insufficient_evidence,inconclusive,-0.18,0.0,deferred
D-000060,NR-01,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.38,0.0,deferred
D-000061,CR-02,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.62,0.0,correct
D-000062,CR-02,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.135,0.0,correct
D-000063,CR-01,favor_merchant,request_more_evidence,insufficient_evidence,inconclusive,0.19,0.0,deferred
D-000064,QD-05,favor_merchant,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.003,0.5,deferred
D-000065,QD-02,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.135,0.0,correct
D-000066,AR-02,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.135,0.0,deferred
D-000067,NR-02,escalate,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.106,0.0,correct
D-000068,QD-05,escalate,escalate_to_analyst,integrity_signals_detected,escalate,0.024,0.7,correct
D-000069,NR-01,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.4,0.0,correct
D-000070,NR-05,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.402,0.0,correct
D-000071,CR-02,favor_cardholder,escalate_to_analyst,integrity_signals_detected,escalate,0.62,0.7,deferred
D-000072,BA-01,favor_cardholder,auto_approve,strong_evidence_for_cardholder,favor_cardholder,0.72,0.0,correct
D-000073,AR-01,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,-0.053,0.0,deferred
D-000074,BA-04,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.55,0.0,correct
D-000075,BA-07,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.6,0.0,correct
D-000076,QD-01,favor_cardholder,escalate_to_analyst,integrity_signals_detected,escalate,0.424,0.7,deferred
D-000077,BA-07,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.6,0.0,correct
D-000078,BA-05,favor_merchant,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.23,0.0,deferred
D-000079,BA-05,favor_merchant,auto_approve,compliance_override,favor_cardholder,-0.23,0.0,correct
D-000080,CR-04,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.071,0.0,deferred
D-000081,QD-01,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.559,0.0,correct
D-000082,NR-01,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.365,0.0,deferred
D-000083,CR-01,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.302,0.0,correct
D-000084,CR-04,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.132,0.0,deferred
D-000085,CR-05,favor_merchant,auto_approve,compliance_override,favor_cardholder,-0.103,0.0,correct
D-000086,QD-01,favor_merchant,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.054,0.0,deferred
D-000087,QD-01,favor_merchant,escalate_to_analyst,integrity_signals_detected,escalate,-0.046,0.6,deferred
D-000088,BA-02,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.6,0.0,correct
D-000089,NR-05,favor_cardholder,escalate_to_analyst,integrity_signals_detected,escalate,0.387,0.6,deferred
D-000090,SP-02,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,-0.11,0.0,deferred
D-000091,NR-01,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.45,0.0,correct
D-000092,AR-02,favor_cardholder,escalate_to_analyst,integrity_signals_detected,escalate,0.135,0.6,deferred
D-000093,CR-03,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.5,0.0,correct
D-000094,QD-06,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.57,0.0,deferred
D-000095,QD-05,favor_merchant,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.024,0.0,deferred
D-000096,NR-01,escalate,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.055,0.0,correct
D-000097,SP-05,favor_merchant,request_more_evidence,insufficient_evidence,inconclusive,-0.085,0.0,deferred
D-000098,CR-03,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.62,0.0,correct
D-000099,BA-08,escalate,escalate_to_analyst,integrity_signals_detected,escalate,-0.03,0.567,correct
D-000100,AR-01,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,-0.053,0.0,deferred
D-000101,BA-08,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.08,0.0,deferred
D-000102,QD-05,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.168,0.0,deferred
D-000103,CR-02,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.5,0.0,correct
D-000104,QD-03,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.046,0.0,deferred
D-000105,BA-04,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.55,0.0,correct
D-000106,AR-02,favor_merchant,request_more_evidence,insufficient_evidence,inconclusive,0.135,0.0,deferred
D-000107,CR-02,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.62,0.0,correct
D-000108,NR-01,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.135,0.0,correct
D-000109,NR-01,favor_merchant,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.213,0.0,deferred
D-000110,BA-02,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.6,0.0,correct
D-000111,NR-01,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.415,0.0,correct
D-000112,BA-07,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.6,0.0,correct
D-000113,CR-03,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.62,0.0,correct
D-000114,NR-01,favor_cardholder,escalate_to_analyst,integrity_signals_detected,escalate,0.365,0.6,deferred
D-000115,QD-03,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.038,0.0,deferred
D-000116,QD-05,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.168,0.0,correct
D-000117,SP-03,escalate,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.14,0.0,correct
D-000118,CR-01,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.182,0.0,deferred
D-000119,NR-04,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.58,0.0,correct
D-000120,BA-07,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,-0.03,0.0,deferred
D-000121,SP-05,favor_cardholder,auto_approve,compliance_override,favor_cardholder,-0.085,0.0,correct
D-000122,AR-01,escalate,escalate_to_analyst,integrity_signals_detected,escalate,0.045,0.625,correct
D-000123,SP-04,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.075,0.0,deferred
D-000124,CR-02,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.5,0.0,correct
D-000125,QD-02,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.602,0.0,deferred
D-000126,QD-01,favor_merchant,auto_approve,evidence_favors_cardholder,favor_cardholder,0.364,0.0,wrong
D-000127,CR-02,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.62,0.0,correct
D-000128,NR-01,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.4,0.0,correct
D-000129,BA-01,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.335,0.0,correct
D-000130,CR-03,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.5,0.0,correct
D-000131,AR-01,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,-0.03,0.0,deferred
D-000132,BA-04,favor_cardholder,escalate_to_analyst,integrity_signals_detected,escalate,0.135,0.6,deferred
D-000133,AR-03,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.135,0.0,deferred
D-000134,CR-01,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.135,0.0,deferred
D-000135,AR-01,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,-0.053,0.0,deferred
D-000136,BA-01,favor_cardholder,auto_approve,strong_evidence_for_cardholder,favor_cardholder,0.72,0.0,correct
D-000137,BA-01,favor_cardholder,auto_approve,strong_evidence_for_cardholder,favor_cardholder,0.72,0.0,correct
D-000138,BA-04,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.55,0.0,correct
D-000139,QD-02,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.106,0.0,correct
D-000140,NR-01,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.365,0.0,deferred
D-000141,CR-01,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.182,0.0,deferred
D-000142,AR-02,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.135,0.0,deferred
D-000143,QD-05,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.55,0.0,correct
D-000144,CR-03,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.62,0.0,correct
D-000145,BA-01,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.32,0.0,correct
D-000146,QD-01,favor_merchant,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.054,0.0,deferred
D-000147,QD-04,escalate,escalate_to_analyst,integrity_signals_detected,escalate,0.019,0.6,correct
D-000148,CR-01,escalate,escalate_to_analyst,integrity_signals_detected,escalate,0.19,0.6,correct
D-000149,QD-01,escalate,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.109,0.0,correct
D-000150,NR-02,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.45,0.0,correct
D-000151,BA-02,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,-0.03,0.0,deferred
D-000152,BA-03,favor_cardholder,auto_approve,compliance_override,favor_cardholder,-0.002,0.0,correct
D-000153,CR-03,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.62,0.0,correct
D-000154,NR-03,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.387,0.0,deferred
D-000155,NR-05,favor_cardholder,escalate_to_analyst,integrity_signals_detected,escalate,0.387,0.6,deferred
D-000156,CR-03,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.62,0.0,correct
D-000157,QD-05,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.55,0.0,correct
D-000158,QD-04,favor_merchant,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.019,0.0,deferred
D-000159,BA-01,favor_cardholder,escalate_to_analyst,integrity_signals_detected,escalate,0.72,0.7,deferred
D-000160,BA-06,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.6,0.0,correct
D-000161,NR-01,escalate,escalate_to_analyst,integrity_signals_detected,escalate,-0.04,0.6,correct
D-000162,NR-04,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.58,0.0,correct
D-000163,CR-01,favor_merchant,request_more_evidence,insufficient_evidence,inconclusive,0.19,0.0,deferred
D-000164,SP-06,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.087,0.0,correct
D-000165,CR-04,favor_merchant,request_more_evidence,insufficient_evidence,inconclusive,-0.198,0.0,deferred
D-000166,CR-05,favor_merchant,request_more_evidence,insufficient_evidence,inconclusive,0.135,0.0,deferred
D-000167,AR-02,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.135,0.0,correct
D-000168,CR-01,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.135,0.0,correct
D-000169,QD-03,favor_merchant,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.1,0.0,deferred
D-000170,AR-03,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.135,0.0,deferred
D-000171,NR-04,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.58,0.0,correct
D-000172,BA-01,favor_cardholder,auto_approve,strong_evidence_for_cardholder,favor_cardholder,0.72,0.0,correct
D-000173,CR-02,favor_cardholder,escalate_to_analyst,integrity_signals_detected,escalate,0.62,0.65,deferred
D-000174,QD-01,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.567,0.0,correct
D-000175,CR-06,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.19,0.0,deferred
D-000176,CR-03,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.62,0.0,correct
D-000177,QD-06,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.499,0.0,correct
D-000178,QD-03,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.038,0.0,deferred
D-000179,NR-01,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.225,0.0,deferred
D-000180,BA-01,favor_cardholder,auto_approve,strong_evidence_for_cardholder,favor_cardholder,0.72,0.0,correct
D-000181,QD-03,escalate,request_more_evidence,insufficient_evidence,inconclusive,-0.113,0.0,correct
D-000182,QD-03,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.038,0.0,deferred
D-000183,NR-01,favor_cardholder,escalate_to_analyst,integrity_signals_detected,escalate,0.415,0.7,deferred
D-000184,BA-02,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.6,0.0,correct
D-000185,BA-06,favor_cardholder,escalate_to_analyst,integrity_signals_detected,escalate,0.6,0.6,deferred
D-000186,AR-03,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.135,0.0,correct
D-000187,QD-04,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.026,0.0,correct
D-000188,BA-01,escalate,escalate_to_analyst,integrity_signals_detected,escalate,0.72,0.6,correct
D-000189,SP-02,favor_merchant,request_more_evidence,insufficient_evidence,inconclusive,-0.11,0.0,deferred
D-000190,NR-01,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.4,0.0,correct
D-000191,QD-01,favor_merchant,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.054,0.0,deferred
D-000192,NR-03,favor_merchant,request_more_evidence,insufficient_evidence,inconclusive,0.158,0.0,deferred
D-000193,SP-01,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,-0.095,0.0,deferred
D-000194,SP-06,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.102,0.0,deferred
D-000195,CR-04,escalate,request_more_evidence,insufficient_evidence,inconclusive,-0.063,0.0,correct
D-000196,QD-02,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.134,0.0,correct
D-000197,CR-05,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,-0.003,0.0,deferred
D-000198,QD-01,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.559,0.0,correct
D-000199,BA-04,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.55,0.0,correct
D-000200,NR-02,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.55,0.0,correct
D-000201,AR-02,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.135,0.0,correct
D-000202,BA-04,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.55,0.0,correct
D-000203,BA-06,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.45,0.0,correct
D-000204,CR-03,escalate,escalate_to_analyst,integrity_signals_detected,escalate,-0.075,0.6,correct
D-000205,AR-01,escalate,request_more_evidence,insufficient_evidence,inconclusive,-0.03,0.0,correct
D-000206,NR-05,escalate,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.062,0.0,correct
D-000207,SP-08,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.65,0.0,correct
D-000208,CR-03,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.5,0.0,correct
D-000209,QD-02,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.158,0.0,deferred
D-000210,QD-03,favor_merchant,request_more_evidence,insufficient_evidence,inconclusive,-0.053,0.0,deferred
D-000211,CR-04,favor_merchant,request_more_evidence,insufficient_evidence,inconclusive,-0.195,0.0,deferred
D-000212,BA-02,favor_cardholder,escalate_to_analyst,integrity_signals_detected,escalate,-0.03,0.6,deferred
D-000213,AR-02,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.135,0.0,deferred
D-000214,CR-04,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.071,0.0,deferred
D-000215,BA-06,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.6,0.0,correct
D-000216,QD-01,favor_merchant,escalate_to_analyst,integrity_signals_detected,escalate,-0.046,0.6,deferred
D-000217,SP-07,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.188,0.0,deferred
D-000218,BA-02,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.6,0.0,correct
D-000219,BA-04,favor_merchant,auto_deny,compliance_override,favor_merchant,0.19,0.0,correct
D-000220,BA-06,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.45,0.0,correct
D-000221,QD-02,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.531,0.0,correct
D-000222,NR-01,escalate,escalate_to_analyst,integrity_signals_detected,escalate,0.365,0.6,correct
D-000223,BA-01,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.347,0.0,correct
D-000224,BA-06,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.45,0.0,correct
D-000225,BA-04,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.07,0.0,correct
D-000226,NR-01,escalate,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.055,0.0,correct
D-000227,SP-02,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,-0.11,0.0,deferred
D-000228,BA-02,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.6,0.0,correct
D-000229,QD-01,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.577,0.0,correct
D-000230,SP-03,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.005,0.0,deferred
D-000231,QD-02,escalate,escalate_to_analyst,integrity_signals_detected,escalate,0.135,0.6,correct
D-000232,CR-01,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.318,0.0,correct
D-000233,QD-05,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.55,0.0,correct
D-000234,AR-02,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.135,0.0,deferred
D-000235,NR-01,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.45,0.0,correct
D-000236,SP-06,escalate,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.078,0.0,correct
D-000237,BA-07,favor_cardholder,auto_approve,compliance_override,favor_cardholder,-0.03,0.0,correct
D-000238,BA-07,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.6,0.8,correct
D-000239,CR-01,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.198,0.0,deferred
D-000240,SP-04,favor_merchant,request_more_evidence,insufficient_evidence,inconclusive,-0.04,0.0,deferred
D-000241,SP-03,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.005,0.0,deferred
D-000242,QD-05,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.55,0.0,correct
D-000243,CR-03,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.62,0.0,correct
D-000244,BA-07,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.6,0.0,correct
D-000245,CR-05,favor_cardholder,auto_approve,compliance_override,favor_cardholder,-0.003,0.0,correct
D-000246,BA-02,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.6,0.0,correct
D-000247,BA-01,favor_merchant,auto_approve,compliance_override,favor_cardholder,-0.347,0.0,correct
D-000248,NR-03,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.387,0.0,correct
D-000249,CR-01,favor_merchant,request_more_evidence,insufficient_evidence,inconclusive,0.205,0.0,deferred
D-000250,BA-04,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.55,0.0,correct
D-000251,SP-03,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.005,0.0,deferred
D-000252,CR-01,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.19,0.0,correct
D-000253,BA-06,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.45,0.0,correct
D-000254,QD-01,escalate,escalate_to_analyst,integrity_signals_detected,escalate,0.169,0.667,correct
D-000255,CR-04,favor_cardholder,escalate_to_analyst,integrity_signals_detected,escalate,0.117,0.6,deferred
D-000256,QD-06,favor_merchant,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.043,0.0,deferred
D-000257,NR-01,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.24,0.0,deferred
D-000258,BA-04,favor_merchant,auto_deny,compliance_override,favor_merchant,0.19,0.0,correct
D-000259,CR-03,escalate,escalate_to_analyst,integrity_signals_detected,escalate,0.62,0.55,correct
D-000260,SP-06,escalate,auto_approve,compliance_override,favor_cardholder,-0.098,0.7,correct
D-000261,BA-01,escalate,auto_approve,compliance_override,favor_cardholder,0.32,0.0,correct
